Sample,CARD Short name,Donor,Milieu,Tissue
ODIWGS47,vanU_in_vanG_cl,OD2,Lumen,TransverseColon
ODIWGS47,tet(L),OD2,Lumen,TransverseColon
ODIWGS47,MuxC,OD2,Lumen,TransverseColon
ODIWGS47,qacEdelta1,OD2,Lumen,TransverseColon
ODIWGS47,kdpD,OD2,Lumen,TransverseColon
ODIWGS47,Lmon_mprF,OD2,Lumen,TransverseColon
ODIWGS47,mepR,OD2,Lumen,TransverseColon
ODIWGS47,TxR,OD2,Lumen,TransverseColon
ODIWGS47,norB,OD2,Lumen,TransverseColon
ODIWGS47,qacH,OD2,Lumen,TransverseColon
ODIWGS47,Ecol_emrE,OD2,Lumen,TransverseColon
ODIWGS47,mecR1,OD2,Lumen,TransverseColon
ODIWGS47,ykkD,OD2,Lumen,TransverseColon
ODIWGS47,FosX,OD2,Lumen,TransverseColon
ODIWGS47,arlS,OD2,Lumen,TransverseColon
ODIWGS47,Saur_norA,OD2,Lumen,TransverseColon
ODIWGS47,PC1_blaZ,OD2,Lumen,TransverseColon
ODIWGS47,mepA,OD2,Lumen,TransverseColon
ODIWGS47,norC,OD2,Lumen,TransverseColon
ODIWGS47,ANT(4')-Ib,OD2,Lumen,TransverseColon
ODIWGS47,mphA,OD2,Lumen,TransverseColon
ODIWGS47,Mrx,OD2,Lumen,TransverseColon
ODIWGS47,YajC,OD2,Lumen,TransverseColon
ODIWGS47,sdrM,OD2,Lumen,TransverseColon
ODIWGS48,tet(O),OD8,Lumen,Jejunum
ODIWGS48,Mrx,OD8,Lumen,Jejunum
ODIWGS48,mphA,OD8,Lumen,Jejunum
ODIWGS48,tet(40),OD8,Lumen,Jejunum
ODIWGS48,ANT(4')-Ib,OD8,Lumen,Jejunum
ODIWGS48,tet(W),OD8,Lumen,Jejunum
ODIWGS48,Kpne_KpnF,OD8,Lumen,Jejunum
ODIWGS48,qacG,OD8,Lumen,Jejunum
ODIWGS49,Mrx,OD5,Lumen,Ileum
ODIWGS49,mphA,OD5,Lumen,Ileum
ODIWGS50,mdtO,OD9,Mucosa,Jejunum
ODIWGS53,tet(O),OD5,Mucosa,Duodenum
ODIWGS53,Ecol_acrA,OD5,Mucosa,Duodenum
ODIWGS53,LlmA_23S_CLI,OD5,Mucosa,Duodenum
ODIWGS55,ANT(4')-Ib,OD3,Lumen,DescendingColon
ODIWGS57,cpxA,OD8,Mucosa,Ileum
ODIWGS57,AcrE,OD8,Mucosa,Ileum
ODIWGS57,gadW,OD8,Mucosa,Ileum
ODIWGS57,Kpne_KpnE,OD8,Mucosa,Ileum
ODIWGS57,Mrx,OD8,Mucosa,Ileum
ODIWGS57,mphA,OD8,Mucosa,Ileum
ODIWGS57,leuO,OD8,Mucosa,Ileum
ODIWGS57,acrD,OD8,Mucosa,Ileum
ODIWGS58,tet(M),OD9,Lumen,Duodenum
ODIWGS58,mel,OD9,Lumen,Duodenum
ODIWGS58,vanS_in_vanA_cl,OD9,Lumen,Duodenum
ODIWGS58,vanX_in_vanA_cl,OD9,Lumen,Duodenum
ODIWGS58,qacL,OD9,Lumen,Duodenum
ODIWGS58,tet(O/M/O),OD9,Lumen,Duodenum
ODIWGS58,mgrA,OD9,Lumen,Duodenum
ODIWGS58,tet(W/N/W),OD9,Lumen,Duodenum
ODIWGS58,efmA,OD9,Lumen,Duodenum
ODIWGS58,dfrG,OD9,Lumen,Duodenum
ODIWGS58,arlR,OD9,Lumen,Duodenum
ODIWGS58,tet(W),OD9,Lumen,Duodenum
ODIWGS58,tet(38),OD9,Lumen,Duodenum
ODIWGS58,tet(37),OD9,Lumen,Duodenum
ODIWGS58,mefH,OD9,Lumen,Duodenum
ODIWGS58,lnuC,OD9,Lumen,Duodenum
ODIWGS58,abeS,OD9,Lumen,Duodenum
ODIWGS58,dfrF,OD9,Lumen,Duodenum
ODIWGS58,tet(O/W),OD9,Lumen,Duodenum
ODIWGS58,tetB(P),OD9,Lumen,Duodenum
ODIWGS58,lmrD,OD9,Lumen,Duodenum
ODIWGS58,tet(32),OD9,Lumen,Duodenum
ODIWGS58,tet(40),OD9,Lumen,Duodenum
ODIWGS58,Saur_LmrS,OD9,Lumen,Duodenum
ODIWGS58,lsaC,OD9,Lumen,Duodenum
ODIWGS58,tet(S),OD9,Lumen,Duodenum
ODIWGS58,vanU_in_vanG_cl,OD9,Lumen,Duodenum
ODIWGS58,vanY_in_vanA_cl,OD9,Lumen,Duodenum
ODIWGS58,SAT-4,OD9,Lumen,Duodenum
ODIWGS58,norA,OD9,Lumen,Duodenum
ODIWGS58,tet(O/W/32/O),OD9,Lumen,Duodenum
ODIWGS58,vanZ_in_vanA_cl,OD9,Lumen,Duodenum
ODIWGS58,qacEdelta1,OD9,Lumen,Duodenum
ODIWGS58,kdpD,OD9,Lumen,Duodenum
ODIWGS58,vanA,OD9,Lumen,Duodenum
ODIWGS58,mecA,OD9,Lumen,Duodenum
ODIWGS58,tetA(46),OD9,Lumen,Duodenum
ODIWGS58,mepR,OD9,Lumen,Duodenum
ODIWGS58,msrA,OD9,Lumen,Duodenum
ODIWGS58,Ecol_emrE,OD9,Lumen,Duodenum
ODIWGS58,mecR1,OD9,Lumen,Duodenum
ODIWGS58,arlS,OD9,Lumen,Duodenum
ODIWGS58,AAC(6')-Ii,OD9,Lumen,Duodenum
ODIWGS58,aad(6),OD9,Lumen,Duodenum
ODIWGS58,tet(O),OD9,Lumen,Duodenum
ODIWGS58,mphC,OD9,Lumen,Duodenum
ODIWGS58,Saur_norA,OD9,Lumen,Duodenum
ODIWGS58,APH(3')-IIIa,OD9,Lumen,Duodenum
ODIWGS58,RbpA,OD9,Lumen,Duodenum
ODIWGS58,vanR_in_vanA_cl,OD9,Lumen,Duodenum
ODIWGS58,mepA,OD9,Lumen,Duodenum
ODIWGS58,norC,OD9,Lumen,Duodenum
ODIWGS58,tetA(P),OD9,Lumen,Duodenum
ODIWGS58,tet(O/32/O),OD9,Lumen,Duodenum
ODIWGS58,YajC,OD9,Lumen,Duodenum
ODIWGS58,ErmB,OD9,Lumen,Duodenum
ODIWGS58,sdrM,OD9,Lumen,Duodenum
ODIWGS58,vanH_in_vanA_cl,OD9,Lumen,Duodenum
ODIWGS59,LlmA_23S_CLI,OD5,Mucosa,Jejunum
ODIWGS60,tet(M),OD2,Lumen,DescendingColon
ODIWGS60,mel,OD2,Lumen,DescendingColon
ODIWGS60,vanS_in_vanA_cl,OD2,Lumen,DescendingColon
ODIWGS60,tet(O/M/O),OD2,Lumen,DescendingColon
ODIWGS60,mgrA,OD2,Lumen,DescendingColon
ODIWGS60,tet(W/N/W),OD2,Lumen,DescendingColon
ODIWGS60,efmA,OD2,Lumen,DescendingColon
ODIWGS60,dfrG,OD2,Lumen,DescendingColon
ODIWGS60,arlR,OD2,Lumen,DescendingColon
ODIWGS60,tet(W),OD2,Lumen,DescendingColon
ODIWGS60,tet(38),OD2,Lumen,DescendingColon
ODIWGS60,tet(37),OD2,Lumen,DescendingColon
ODIWGS60,mefH,OD2,Lumen,DescendingColon
ODIWGS60,lnuC,OD2,Lumen,DescendingColon
ODIWGS60,Paer_emrE,OD2,Lumen,DescendingColon
ODIWGS60,abeS,OD2,Lumen,DescendingColon
ODIWGS60,dfrF,OD2,Lumen,DescendingColon
ODIWGS60,tet(O/W),OD2,Lumen,DescendingColon
ODIWGS60,tet(W/32/O),OD2,Lumen,DescendingColon
ODIWGS60,lmrD,OD2,Lumen,DescendingColon
ODIWGS60,tet(32),OD2,Lumen,DescendingColon
ODIWGS60,tet(40),OD2,Lumen,DescendingColon
ODIWGS60,Saur_LmrS,OD2,Lumen,DescendingColon
ODIWGS60,lsaC,OD2,Lumen,DescendingColon
ODIWGS60,tet(S),OD2,Lumen,DescendingColon
ODIWGS60,vanU_in_vanG_cl,OD2,Lumen,DescendingColon
ODIWGS60,vanY_in_vanA_cl,OD2,Lumen,DescendingColon
ODIWGS60,SAT-4,OD2,Lumen,DescendingColon
ODIWGS60,tet(O/W/32/O),OD2,Lumen,DescendingColon
ODIWGS60,vanZ_in_vanA_cl,OD2,Lumen,DescendingColon
ODIWGS60,kdpD,OD2,Lumen,DescendingColon
ODIWGS60,vanA,OD2,Lumen,DescendingColon
ODIWGS60,mecA,OD2,Lumen,DescendingColon
ODIWGS60,mepR,OD2,Lumen,DescendingColon
ODIWGS60,msrA,OD2,Lumen,DescendingColon
ODIWGS60,mecR1,OD2,Lumen,DescendingColon
ODIWGS60,arlS,OD2,Lumen,DescendingColon
ODIWGS60,AAC(6')-Ii,OD2,Lumen,DescendingColon
ODIWGS60,aad(6),OD2,Lumen,DescendingColon
ODIWGS60,tet(O),OD2,Lumen,DescendingColon
ODIWGS60,mphC,OD2,Lumen,DescendingColon
ODIWGS60,Saur_norA,OD2,Lumen,DescendingColon
ODIWGS60,APH(3')-IIIa,OD2,Lumen,DescendingColon
ODIWGS60,vanR_in_vanA_cl,OD2,Lumen,DescendingColon
ODIWGS60,mepA,OD2,Lumen,DescendingColon
ODIWGS60,norC,OD2,Lumen,DescendingColon
ODIWGS60,tet(O/32/O),OD2,Lumen,DescendingColon
ODIWGS60,ErmB,OD2,Lumen,DescendingColon
ODIWGS60,sdrM,OD2,Lumen,DescendingColon
ODIWGS60,vanH_in_vanA_cl,OD2,Lumen,DescendingColon
ODIWGS62,tet(M),OD9,Mucosa,Duodenum
ODIWGS62,eptB,OD9,Mucosa,Duodenum
ODIWGS62,vanS_in_vanA_cl,OD9,Mucosa,Duodenum
ODIWGS62,vanX_in_vanA_cl,OD9,Mucosa,Duodenum
ODIWGS62,mgrA,OD9,Mucosa,Duodenum
ODIWGS62,tet(W/N/W),OD9,Mucosa,Duodenum
ODIWGS62,efmA,OD9,Mucosa,Duodenum
ODIWGS62,tet(W),OD9,Mucosa,Duodenum
ODIWGS62,LlmA_23S_CLI,OD9,Mucosa,Duodenum
ODIWGS62,tet(38),OD9,Mucosa,Duodenum
