Species1	Species2	Values
Saccharomyces cerevisiae	Lacticaseibacillus rhamnosus	0.213685
Saccharomyces cerevisiae	Faecalibacillus intestinalis	0.0384171
Saccharomyces cerevisiae	Catenibacterium sp. co_0103	0.0561858
Saccharomyces cerevisiae	Bifidobacterium adolescentis	0.177599
Saccharomyces cerevisiae	Bifidobacterium pseudocatenulatum	0.0642934
Saccharomyces cerevisiae	Bifidobacterium breve	-0.0198698
Saccharomyces cerevisiae	Bifidobacterium bifidum	0.036174
Saccharomyces cerevisiae	Bifidobacterium dentium	-0.0269074
Saccharomyces cerevisiae	Actinomyces sp. oral taxon 171	0.136323
Saccharomyces cerevisiae	Actinomyces sp. oral taxon 169	0.0885129
Saccharomyces cerevisiae	Cutibacterium acnes	-0.121342
Saccharomyces cerevisiae	Gordonibacter urolithinfaciens	0.0925019
Saccharomyces cerevisiae	Gordonibacter pamelaeae	0.044202
Saccharomyces cerevisiae	Bacteroides stercoris	0.0274775
Saccharomyces cerevisiae	Bacteroides salyersiae	0.445689
Saccharomyces cerevisiae	Streptococcus lutetiensis	-0.173139
Saccharomyces cerevisiae	Enterococcus avium	-0.087797
Saccharomyces cerevisiae	Acidaminococcus intestini	0.147438
Saccharomyces cerevisiae	Faecalibacterium sp. IP118	0.199629
Saccharomyces cerevisiae	Ruthenibacterium lactatiformans	0.0808291
Saccharomyces cerevisiae	Streptococcus agalactiae	-0.06825
Saccharomyces cerevisiae	Actinomyces sp. HMT 175	0.0667052
Saccharomyces cerevisiae	Bacteroides sp. KGMB07931	-0.0885163
Candida tropicalis	Homo sapiens	-0.174794
Candida tropicalis	Saccharomyces cerevisiae	-0.397297
Candida tropicalis	Candida tropicalis	0
Candida tropicalis	Candida albicans	0.220466
Candida tropicalis	Botrytis cinerea	-0.338914
Candida tropicalis	Aspergillus oryzae	0.191192
Candida tropicalis	Toxoplasma gondii	-0.39469
Candida tropicalis	Trypanosoma brucei	-0.403289
Candida tropicalis	Leishmania infantum	-0.190819
Candida tropicalis	Staphylococcus aureus	-0.0577243
Candida tropicalis	Streptococcus pneumoniae	-0.128242
Candida tropicalis	Streptococcus thermophilus	0.0586606
Candida tropicalis	Streptococcus sp. A12	0.0543251
Candida tropicalis	Streptococcus salivarius	0.0342185
Candida tropicalis	Streptococcus australis	0.0696857
Candida tropicalis	Streptococcus parasanguinis	0.273884
Candida tropicalis	Lactococcus piscium	0.0426041
Candida tropicalis	Limosilactobacillus fermentum	0.113045
Candida tropicalis	Latilactobacillus sakei	0.0443341
Candida tropicalis	Leuconostoc carnosum	0.0401695
Candida tropicalis	Lactobacillus helveticus	0.0463281
Candida tropicalis	Enterococcus faecium	0.114674
Candida tropicalis	Abiotrophia defectiva	0.0559788
Candida tropicalis	Blautia wexlerae	0.0722505
Candida tropicalis	Blautia massiliensis	0.0870598
Candida tropicalis	Blautia sp. SC05B48	0.093408
Candida tropicalis	Blautia sp. NBRC 113351	0.0739121
Candida tropicalis	Blautia obeum	0.0380609
Candida tropicalis	Blautia argi	0.112983
Candida tropicalis	Blautia producta	0.120302
Candida tropicalis	uncultured Blautia sp.	0.22786
Candida tropicalis	Anaerostipes hadrus	0.0603779
Candida tropicalis	[Ruminococcus] torques	0.135347
Candida tropicalis	[Ruminococcus] gnavus	0.0675732
Candida tropicalis	[Eubacterium] rectale	0.0592499
Candida tropicalis	Roseburia intestinalis	0.0637344
Candida tropicalis	Roseburia hominis	0.132991
Candida tropicalis	Roseburia sp. NSJ-69	0.0737253
Candida tropicalis	Anaerobutyricum hallii	0.0605712
Candida tropicalis	Coprococcus comes	0.0942973
Candida tropicalis	Coprococcus catus	0.078334
Candida tropicalis	[Clostridium] scindens	0.0422534
Candida tropicalis	[Clostridium] symbiosum	0.450104
Candida tropicalis	[Clostridium] hylemonae	0.0912983
Candida tropicalis	Dorea longicatena	0.0439131
Candida tropicalis	Lachnospiraceae bacterium	0.169891
Candida tropicalis	Lachnospiraceae bacterium GAM79	0.173017
Candida tropicalis	Enterocloster bolteae	1.02716
Candida tropicalis	Enterocloster clostridioformis	0.261789
Candida tropicalis	Lachnospira eligens	0.0790992
Candida tropicalis	Faecalicatena sp. Marseille-Q4148	0.10881
Candida tropicalis	Wansuia hejianensis	0.195777
Candida tropicalis	Oscillospiraceae bacterium	0.109069
Candida tropicalis	Ruminococcus sp. SR1/5	0.0838392
Candida tropicalis	Faecalibacterium prausnitzii	0.0724367
Candida tropicalis	Faecalibacterium sp. IP329	0.141726
Candida tropicalis	Faecalibacterium sp. I2392	0.0771053
Candida tropicalis	Faecalibacterium sp. I4384	0.0477246
Candida tropicalis	[Eubacterium] siraeum	0.0954868
Candida tropicalis	Flavonifractor plautii	0.142361
Candida tropicalis	Vescimonas coprocola	0.0584549
Candida tropicalis	Clostridium sp. M62/1	0.109295
Candida tropicalis	Eubacterium callanderi	0.179392
Candida tropicalis	Eubacterium sp. c-25	0.112318
Candida tropicalis	Eubacterium limosum	0.194958
Candida tropicalis	Clostridioides difficile	0.0739425
Candida tropicalis	Mogibacterium diversum	0.428903
Candida tropicalis	butyrate-producing bacterium SS3/4	0.0962893
Candida tropicalis	uncultured Clostridia bacterium	0.0870634
Candida tropicalis	Clostridia bacterium UC5.1-1D4	0.0686632
Candida tropicalis	Erysipelatoclostridium ramosum	0.0844594
Candida tropicalis	[Clostridium] innocuum	0.0870766
Candida tropicalis	Erysipelotrichaceae bacterium 66202529	0.0668026
Candida tropicalis	Longicatena caecimuris	0.092594
Candida tropicalis	Faecalitalea cylindroides	-0.00995184
Candida tropicalis	Parvimonas micra	0.397052
Candida tropicalis	Lawsonella clevelandensis	0.0507645
Candida tropicalis	Actinomyces graevenitzii	0.0705172
Candida tropicalis	Actinomyces naeslundii	0.0520452
Candida tropicalis	Actinomyces sp. oral taxon 414	0.0509757
Candida tropicalis	Actinomyces pacaensis	0.0998547
Candida tropicalis	Actinomyces oris	0.0876231
Candida tropicalis	Schaalia odontolytica	0.309209
Candida tropicalis	Pauljensenia hongkongensis	0.084209
Candida tropicalis	Bifidobacterium longum	0.170305
Candida tropicalis	Eggerthella lenta	0.134727
Candida tropicalis	Adlercreutzia hattorii	0.156758
Candida tropicalis	Adlercreutzia equolifaciens	0.0561517
Candida tropicalis	Collinsella aerofaciens	0.103553
Candida tropicalis	Lancefieldella parvula	0.105837
Candida tropicalis	Escherichia coli	0.088526
Candida tropicalis	Klebsiella pneumoniae	0.0625724
Candida tropicalis	Salmonella enterica	-0.00741313
Candida tropicalis	Polynucleobacter sp. MG-Unter2-18	-0.367927
Candida tropicalis	Bacteroides thetaiotaomicron	0.0891941
Candida tropicalis	Bacteroides uniformis	0.112628
Candida tropicalis	Bacteroides ovatus	0.182243
Candida tropicalis	Bacteroides xylanisolvens	0.171932
Candida tropicalis	Bacteroides caccae	0.100879
Candida tropicalis	Bacteroides fragilis	0.0111331
Candida tropicalis	Phocaeicola dorei	0.0930111
Candida tropicalis	Phocaeicola vulgatus	0.337249
Candida tropicalis	Parabacteroides distasonis	0.205405
Candida tropicalis	Parabacteroides merdae	0.0965041
Candida tropicalis	Alistipes onderdonkii	0.0671752
Candida tropicalis	Alistipes shahii	0.293962
Candida tropicalis	Akkermansia muciniphila	0.156411
Candida tropicalis	uncultured human fecal virus	0.0831961
Candida tropicalis	Blautia pseudococcoides	0.136429
Candida tropicalis	Anaerostipes caccae	0.0837898
Candida tropicalis	Lachnoclostridium sp. YL32	0.259642
Candida tropicalis	Lachnoclostridium phocaeense	0.0684107
Candida tropicalis	Simiaoa sunii	0.101566
Candida tropicalis	Sellimonas intestinalis	0.0769369
Candida tropicalis	Dysosmobacter welbionis	0.160485
Candida tropicalis	Clostridiaceae bacterium Marseille-Q4149	0.0192801
Candida tropicalis	Eubacterium sp. NSJ-61	0.0416947
Candida tropicalis	Massilistercora timonensis	0.0646069
Candida tropicalis	Clostridiales bacterium CCNA10	0.211728
Candida tropicalis	Geobacillus zalihae	0.583057
Candida tropicalis	Streptococcus vestibularis	0.00724673
Candida tropicalis	Streptococcus sp. HSISM1	0.372784
Candida tropicalis	Streptococcus sp. LPB0220	0.356596
Candida tropicalis	Streptococcus sp. HSISS3	0.0887447
Candida tropicalis	Streptococcus anginosus	0.0810746
Candida tropicalis	Streptococcus mitis	0.104552
Candida tropicalis	Streptococcus sanguinis	0.0689773
Candida tropicalis	Streptococcus oralis	0.188537
Candida tropicalis	Lactococcus lactis	0.0190595
Candida tropicalis	Limosilactobacillus oris	0.703765
Candida tropicalis	Lactiplantibacillus plantarum	0.713435
