Species1	Species2	Values
Candida tropicalis	Enterocloster clostridioformis	0.16201
Candida tropicalis	Lachnospira eligens	0.0606091
Candida tropicalis	Faecalicatena sp. Marseille-Q4148	0.0922914
Candida tropicalis	Wansuia hejianensis	0.0907971
Candida tropicalis	Oscillospiraceae bacterium	0.084652
Candida tropicalis	Ruminococcus sp. SR1/5	0.0701028
Candida tropicalis	Faecalibacterium prausnitzii	0.0738036
Candida tropicalis	Faecalibacterium sp. IP329	0.101178
Candida tropicalis	Faecalibacterium sp. I2392	0.0664363
Candida tropicalis	Faecalibacterium sp. I4384	0.0570671
Candida tropicalis	[Eubacterium] siraeum	0.0839912
Candida tropicalis	Flavonifractor plautii	0.0468337
Candida tropicalis	Vescimonas coprocola	0.04828
Candida tropicalis	Clostridium sp. M62/1	0.0899328
Candida tropicalis	Eubacterium callanderi	0.0193911
Candida tropicalis	Eubacterium sp. c-25	0.133384
Candida tropicalis	Eubacterium limosum	0.0403628
Candida tropicalis	Clostridioides difficile	0.0767421
Candida tropicalis	Mogibacterium diversum	0.67829
Candida tropicalis	butyrate-producing bacterium SS3/4	0.0701913
Candida tropicalis	uncultured Clostridia bacterium	0.0490384
Candida tropicalis	Clostridia bacterium UC5.1-1D4	0.102716
Candida tropicalis	Erysipelatoclostridium ramosum	0.0807522
Candida tropicalis	[Clostridium] innocuum	0.102697
Candida tropicalis	Erysipelotrichaceae bacterium 66202529	0.0751652
Candida tropicalis	Longicatena caecimuris	0.101025
Candida tropicalis	Faecalitalea cylindroides	-0.0166771
Candida tropicalis	Parvimonas micra	0.792984
Candida tropicalis	Lawsonella clevelandensis	0.0618746
Candida tropicalis	Actinomyces graevenitzii	0.073619
Candida tropicalis	Actinomyces naeslundii	0.0506496
Candida tropicalis	Actinomyces sp. oral taxon 414	0.0489248
Candida tropicalis	Actinomyces pacaensis	0.110739
Candida tropicalis	Actinomyces oris	0.0724731
Candida tropicalis	Schaalia odontolytica	0.37281
Candida tropicalis	Pauljensenia hongkongensis	0.0847247
Candida tropicalis	Bifidobacterium longum	0.107458
Candida tropicalis	Eggerthella lenta	0.0948225
Candida tropicalis	Adlercreutzia hattorii	0.0326999
Candida tropicalis	Adlercreutzia equolifaciens	-0.0331375
Candida tropicalis	Collinsella aerofaciens	-0.0634303
Candida tropicalis	Lancefieldella parvula	0.212745
Candida tropicalis	Escherichia coli	-0.046249
